20180103,2100,1.69377,1.69487,1.69355,1.69482,287
20180103,2130,1.69482,1.69536,1.69314,1.69314,420
20180103,2200,1.69307,1.69387,1.69307,1.69382,112
20180103,2230,1.69385,1.69409,1.69303,1.69376,148
20180103,2300,1.69359,1.69444,1.69359,1.69403,227
20180103,2330,1.69398,1.69515,1.69398,1.69485,253
20180104,0000,1.69486,1.69522,1.69421,1.69507,278
20180104,0030,1.69507,1.69523,1.69467,1.69505,294
20180104,0100,1.69501,1.69605,1.69497,1.69565,297
20180104,0130,1.69562,1.69590,1.69525,1.69527,328
20180104,0200,1.69524,1.69560,1.69484,1.69549,320
20180104,0230,1.69545,1.69563,1.69499,1.69505,247
20180104,0300,1.69507,1.69530,1.69451,1.69512,242
20180104,0330,1.69509,1.69523,1.69464,1.69473,167
20180104,0400,1.69470,1.69500,1.69433,1.69446,223
20180104,0430,1.69442,1.69458,1.69399,1.69417,216
20180104,0500,1.69413,1.69429,1.69364,1.69397,207
20180104,0530,1.69394,1.69397,1.69337,1.69337,173
20180104,0600,1.69337,1.69383,1.69283,1.69293,407
20180104,0630,1.69294,1.69389,1.69282,1.69326,458
20180104,0700,1.69327,1.69388,1.69283,1.69295,598
20180104,0730,1.69298,1.69355,1.69242,1.69248,716
20180104,0800,1.69244,1.69410,1.69197,1.69401,730
20180104,0830,1.69405,1.69524,1.69358,1.69524,941
20180104,0900,1.69519,1.69662,1.69455,1.69535,834
20180104,0930,1.69534,1.69674,1.69530,1.69629,1001
20180104,1000,1.69627,1.69685,1.69524,1.69541,836
20180104,1030,1.69539,1.69673,1.69521,1.69588,683
20180104,1100,1.69592,1.69639,1.69549,1.69553,820
20180104,1130,1.69554,1.69656,1.69542,1.69645,800
20180104,1200,1.69645,1.69754,1.69567,1.69748,713
20180104,1230,1.69748,1.69756,1.69633,1.69653,941
20180104,1300,1.69655,1.69737,1.69525,1.69592,1365
20180104,1330,1.69597,1.69736,1.69529,1.69558,1562
20180104,1400,1.69562,1.69633,1.69427,1.69621,1136
20180104,1430,1.69612,1.69700,1.69507,1.69525,1632
20180104,1500,1.69525,1.69733,1.69450,1.69655,1574
20180104,1530,1.69659,1.69742,1.69536,1.69740,1673
20180104,1600,1.69745,1.69791,1.69517,1.69531,1577
20180104,1630,1.69528,1.69605,1.69469,1.69497,1172
20180104,1700,1.69497,1.69540,1.69375,1.69444,738
20180104,1730,1.69454,1.69529,1.69389,1.69410,855
20180104,1800,1.69413,1.69488,1.69398,1.69413,732
20180104,1830,1.69412,1.69439,1.69293,1.69336,617
20180104,1900,1.69340,1.69424,1.69329,1.69403,407
20180104,1930,1.69402,1.69440,1.69200,1.69354,865
20180104,2000,1.69351,1.69376,1.69245,1.69300,659
20180104,2030,1.69301,1.69372,1.69301,1.69355,480
20180104,2100,1.69352,1.69353,1.69266,1.69279,316
20180104,2130,1.69273,1.69275,1.69069,1.69118,456
20180104,2200,1.69108,1.69223,1.69042,1.69161,291
20180104,2230,1.69159,1.69210,1.69107,1.69196,155
20180104,2300,1.69166,1.69283,1.69156,1.69178,745
20180104,2330,1.69174,1.69251,1.69166,1.69244,162
20180105,0000,1.69238,1.69259,1.69202,1.69244,214
20180105,0030,1.69245,1.69388,1.69238,1.69361,447
20180105,0100,1.69364,1.69364,1.69271,1.69292,318
20180105,0130,1.69295,1.69363,1.69292,1.69350,234
